0_000_00_Ref Nr,APIS,BUDA RefNR to add to http://purl.bdrc.io/resource/,KDSB Set,KDSB vol,KDSB txt Nr,PP in KDSB,No of folios,Category=Subject (vocabulary) -> for APIS,Category (for team's orientation),Signature: letter indicating category,Signature: number indicating bundle,Drepung catalogue no,provenance and/or catalogue number (if not Drepung),Author's name (generic/as attested in manuscript),Author BDRC/BUDA ID,Author's dates,Title dkar chag KDSB/editorial/attested,Sanskrit title,Commentary on (sDe dge ref),Script,"mss proofread by scribe or later reader, indication on the mss A(bsent), P(resent), TBD (by defautl, to be determined; if blank=TBD)",Transkribus,Etext main txt,Marginal notes,Etext loc/origin,TEI doc w. tagged excerpts,Priority,Status of importance,Remark,Topics of interest (in addition to txt subject),Amount of references to views of Tibetan scholars/Number of names,SB - Author KDSB dkar chag check,SB Author (systematic network research done),Contents marked up (mss or etxt),TEI markup,Colophon marked up in etxt and harvest,Amount of data in colophon,place of composition,place of scribing/copy,Place names in colophons,Date in colophons,Scribe,Owner,dpe cha,Etext input by,"Additional e-text metadata/
comments",Drawings
2_055_02,,MW1PD89084_F9EB82,2,55,2,13-25,7,Epistemology,Epistemology,ma,599,10493,,bCom ldan rigs pa’i ral gri,P1217,1227-1305,rtsod pa rig pa'i bsdus don,-,D4218,,Present,,Complete (with lemmata). Not proofread,no (lemmata only),TibSchol complete; Typeset; BUDA  OCR,,Core,minor,topical outline of VN with lemmata - only of interest for comparison of structure. No mention of persons apart from rKang mig. author mentioned before the final part.,,0,,,etxt mark-up complete (PH),,,"title, author",,,,,,,N,PH and BUDA (W00EGS1017426),,
2_055_03,,MW1PD89084_8134C3,2,55,3,33-177,73,Epistemology,Epistemology,ma,599,10496,,bCom ldan rigs pa’i ral gri,P1217,1227-1305,rtsod rigs rgyan gyi me tog,ba da na ya a laM ka ra puSH pa,D4218,,Absent,T,Complete,no,"TibSchol complete; Typeset, BUDA OCR",,Core,minor,"no discussion with Tibetan interpreters, only mentions and cites Indian scholars. Several mentions of Shankaranandana. Teaching went from Danashila to Shakya brtson 'grus; Danashila taught according to Shankaranandana's commentary --> of interest to P2
Lemmas from D4218 (VN)","""dbu tshad"" expression",0,,,etxt mark-up complete (PH),,,"title, author",,,,,,,N,PH and BUDA (W00EGS1017426),,
2_055_04,,MW1PD89084_386BFF,2,55,4,179-185,5,,method?,ya,2,16910,,bCom ldan rigs pa’i ral gri,P1217,1227-1305,sku gzugs kyi mtshan nyid rgyan gyi me tog,[la] k+Sha na a lang ka pu (Sh+pa),,,,,,no,Typeset gsung bum?,,,Discard - not pertinent,"text up to f. 4a1, followed by 1_055_05",,,,,,,,"author, title",,,,,,,N,,,
2_055_05,,MW1PD89084_386BFF,2,55,5,185-187,2,,Instruction,,,,,Tsa mi lo tsA ba,P5169,b. 11th c.,bya rog gi legs nyes brtag thabs kyi man ngag,,,,Present,,not needed (typeset gsung 'bum?),no,Typeset gsung bum?,,Discard,Discard (not part of considered corpus),"follows 055_04 from f. 4a1. Not distinguished as a distinct item in KDSB. Colophon reports bla ma tsa mi lo tsA bas mdzad pa as author, and dpal chen rga lo as translator. Instruction of the Bya rog legs nyes brtag pa of the Yogi Nag po chen po",,,,,,,,"teacher, translator",,,,,,,N,,,
2_055_06,,MW1PD89084_9113C0,2,55,6,195-343,74,medicine,medicine,ma,599,10495,,bCom ldan rigs pa’i ral gri,P1217,1227-1305,gso ba rig pa rgyan gyi me tog,B+he sha j+ya bi d+ya a lang ka ra pu-Sh+pa,,,,,,no,Typeset gsung bum?,,Discard,Secondary / Discard,"Probably to be discarded as topic not relevant, but might contain excursuses on perception or inference.",,,,,,,,author/title,,,,,,,N,,,
2_055_07,,MW1PD89084_35BF13,2,55,7,345-352,4,Great vehicle,diverse - Mahāyāna,la,501,19260,,bCom ldan rigs pa’i ral gri,P1217,1227-1305,theg chen rgyu 'bras rgyan gyi me tog. Colophon: theg chen gyi rgyu 'bras rgyan gyi me tog,-,,,Present,,,no,Typeset gsung bum?,,,Discard - not pertinent,Short work on cause and effect of the mahayana. No pertinent features or contents.,,0,,,,,,title / author,,,,,,,N,,,
2_055_08,,MW1PD89084_606F9F,2,55,8,353-383,16,Madhyamaka,Madhyamaka,la,501,19277,,bCom ldan rigs pa’i ral gri,P1217,1227-1305,ye shes snying po kun las btus pa rgyan gyi me tog,j+nya na sa ra sa mud tsa ya a laM ka ra pu-Sh-pa,D3581,,,,,some,Typeset gsung bum?,,Secondary,Secondary,commentary on Āryadeva's Jñānasārasamuccaya,,,,,,,,author/title,,,,,,,N,,,
2_055_09,,MW1PD89084_AC3552,2,55,9,385-426,20,tantra,tantra,ma,599,10494,,bCom ldan rigs pa’i ral gri,P1217,1227-1305,ngan song sbyong rgyud rgyan gyi me tog,sa-r+va dur ga ti sho d+ha ni tan tra a laM ka ra pu-Sh+pa,?,,Present,,,no,Typeset gsung bum?,,,Discard - not pertinent,Drepung cat. Indicates 22ff. Commentary on an unidentified tantra - the closest I could find would be D1907: śrīsarvadurgatipariśodhana-tantroddhṛtalocanādurgatiśodhanavidhi by Śūnyatāsamādhivajra / Devākaracandra.,,,,,,,,"title, author",,,,,,,N,,,
2_055_10,,MW1PD89084_886FFC,2,55,10,427-428,1,,Instruction,ma,926,12485,,bCom ldan rigs pa’i ral gri,P1217,1227-1305,jo btsun seng ge sgra'i man ngag,,,,,,not needed (typeset gsung 'bum?),no (some corrections only),Typeset gsung bum?,,,Discard - not pertinent,"on f. 1b2, finishes with ""zhes rje btsun nyid kyis gsungs so//"". Mention of Candragomi's tantra. Addition: btsun pa ze'us (or zle'us) phyag dpe' la bris pa'o (which I take to indicate the name of exemplar owner, or name of scribe, probably a typo for ze'u, see other works of ral gri)",,,,,mss markup completed (PH),,,"title, author. Annotation: scribe or owner",,,,,btsun pa zi'u (zli'u?) em. Ze'u?,,N,,,
2_055_11,,MW1PD89084_1DF6F7,2,55,11,429-430,1,meditation,meditation,ma,926,12486,,bCom ldan rigs pa’i ral gri,P1217,1227-1305,rnam snang mngon par byang chub pa'i sku gsum gyi dkyil 'khor bsgom thabs,,,,,,not needed (typeset gsung 'bum?),no,Typeset gsung bum?,,,Discard - not pertinent,"addition: de nyid kyi phag dpe' la ze'u grags shes bris - I also take this to indicate the scribe, who copied from an examplar whose owner was the author=Ral gri (PH) (la-> las). ""ze'u grags shes"" must be Ze'u grags pa shes rab (1259-132), who became abbot of sNar thang after 1314, following Ze'u grags pa brtson 'grus (1253-1316) who was maybe his oncle (see vdk 2003: 408)",,,,,mss markup completed (PH),,,"title, author, scribe, owner of exemplar for copy",,,,,ze'u grags shes,1) Ral gri,N,,,
2_055_12,,MW1PD89084_27CDEC,2,55,12,431-438,4,Buddha,diverse - Buddha,la,501,19275,,bCom ldan rigs pa’i ral gri,P1217,1227-1305,sangs rgyas dang sangs rgyas tshul rnam par dbye ba rgyan gyi me tog,-,,,A,,,no,Typeset gsung bum?,,,Discard - not relevant,"text about how Shakyamuni became a Buddha. Cites many Indian sutras and tantras about Shakyamuni. Mentions several opinions in these sources, e.g. slob dpon shakya bshes gnyen (Shâkyamitra, student of Nagarjuna) and a slob dpon kun dga' snying po (Sa chen?). No discussions of interest for project",rigs lnga,1,,,mss markup completed (TD),,,"title, author",,,,,,,N,,,
2_055_13,,MW1PD89084_A99890,2,55,13,439-481,22,Propitiation + Mañjushri,tantra,ma,599,10490,,bCom ldan rigs pa’i ral gri,P1217,1227-1305,'phags pa 'jam dpal gyi mtshan yang dag par brjod pa rgyan gyi me tog,Arya mañ+ju shri nAma saM gI ti A laM ka ra puSH+pa ,,,Present,,,no,Typeset gsung bum?,,,Discard - not relevant,"Sadhana of Manjushri - ritual text. title suggested relation to mañjuśrī-jñānasattvasya-paramārtha-nāma-saṃgīti (D360), but is not a commentary on the latter. Refers to Indian scholars (e.g. Candragomi, Vilâsa(vajra) )and texts, but not to Tibetan ones",,,,,mss markup completed (TD),,,"title, author",,,,,,,N,,,
2_055_14,,MW1PD89084_4DBFA6,2,55,14,483-488,3,Propitiation,sādhana,la,501,19264,,bCom ldan rigs pa’i ral gri,P1217,1227-1305,mtshan yang dag par brjod pa'i sgrub thabs rgyan gyi me tog,na ma saM ga ta sA d+ha naM,,bru,Present,,not needed,no,Typeset gsung bum? TibSchol incomplete,,Discard,Discard - not schol," Single ref. to ""sngon gyi slob dpon"". No schol features or topics of interest. ",,1,,,mss marked up complete (TD) incomplete etext marked up,,,title/author,,,,,,,N,TD,,
2_055_15,,MW1PD89084_85F279,2,55,15,489-503,8,Monastic rules + vows,vinaya + vows,la,501,19278?,,bCom ldan rigs pa’i ral gri,P1217,1227-1305,paN chen bi b+hU ta'i sdom gsum 'od kyi phreng ba rgyan gyi me tog dkyil 'khor gyi thig gi man ngag dang / bshad rgyud rdo rje phreng ba'i le'u lnga bcu rtsa bzhi pa nas bshad pa'i dkyil 'khor cho ga nyi shu pa. BDRC=cover page: sdom gsum 'od kyi phreng ba rgyan gyi me tog,-,D3727,,,,,one (dbu can),Typeset gsung bum?,,,Discard - not pertinent,commentary on Vibhūticandra 's trisaṃvaraprabhāmālā-nāma (D3727),,,,,,,,title / author,,,,,,,N,,,
2_055_16,,MW1PD89084_4494D0,2,55,16,505-521,9,,Instruction/ritual  ?,ma,(1205?),,,bCom ldan rigs pa’i ral gri,P1217,1227-1305,dKyil ʼkhor gyi thig gi man ngag dang  bshad rgyud rdo rje phreng baʼi leʼu lnga bcu rtsa bzhi pa nas bshad paʼi dkyil ʼkhor cho ga nyi shu pa  rnam lnga maṇḍa gyi sbyor ba / rnam lnga maNDa gyi sbyor ba/,,,,,,,yes on f. 4b &5a,Typeset gsung bum?,,Discard,Discard - not pertinent,"bad scan in KDSB (pixelized). Several short texts, all not pertinent for project. (i) 1b1-2a6 ""thig gi man ngag""; (ii) 2a7-2b3 ""thig gi man ngag""; (iii) 2b4-3a8;… 4b2-, topical outline of 54th chapter of bshad rgyud rdo rje phreng pa (probably D445: śrī-vajramālābhidhāna-mahāyogatantra-sarvatantrahṛdaya-rahasya-vibhaṅga-iti) with lemmata",,,,,,,,author,,,,,,,N,,,
2_056_01,,MW1PD89084_40265D,2,56,1,7-10,2,Propitiation,sādhana,la,501,19259,,bCom ldan rigs pa’i ral gri,P1217,1227-1305,shAkya thub pa'i sgrub thabs. Incipit: bcom ldan 'das shA-kya thub pa'i sgrub thabs,b+ha ga ban shAkya mu ne sA d+ha naM,,,,,not needed,no,Typeset gsung bum?,,Discard,Discard - not pertinent,No Drepung signature. Not relevant,,,,,,,,author / title,,,,,,,,,,
2_056_02,,MW1PD89084_2E4C00,2,56,2,11-14,2,Propitiation,sādhana,la,501,19258,,bCom ldan rigs pa’i ral gri,P1217,1227-1305,'phags pa byams pa'i sgrub thabs,arya mai tri sA d+ha naM,,,,,not needed,no,Typeset gsung bum?,,Discard,Discard - not pertinent,No _Drepung signature. Not relevant,,,,,,,,author / title,,,,,,,,,,
2_056_03,,MW1PD89084_AA8DAB,2,56,3,15-24,5,eulogy,eulogy+outline,la,501,19265,,bCom ldan rigs pa’i ral gri,P1217,1227-1305,gsang ba'i bdag po phyag na rdo rje la bstod pa rgyan gyi me tog,gu h+ya pa ti badz+ra pA Ni sto traM a laM ka ra pu-Sh+pa,,,,,,,Typeset gsung bum?,,Discard,Discard - not schol,Not relevant in terms of contents,,,,,,,,author / title,,,,,,,,,,
2_056_04,,MW1PD89084_20C2D7,2,56,4,25-28,2,Propitiation,sādhana,ma,1025,13656,,bCom ldan rigs pa’i ral gri,P1217,1227-1305,seng ldeng nag sgrol ma'i sgrub thabs,-,,dbu can,Absent,,not needed,no,Typeset gsung bum?,,Discard,Discard - not schol,"No colophon, no authorship statement",,,,,,,,(none),,,,,,,,,,
2_056_05,,MW1PD89084_0EF3D6,2,56,5,29-32,2,Propitiation,sādhana,ma,1025,13651,,bCom ldan rigs pa’i ral gri,P1217,1227-1305,'phags ma sgrol ma nyi shu rtsa gcig gi sgrub thabs,-,,dbu can,,,not needed,no,Typeset gsung bum?,,Discard,Discard - not schol,Nothing relevant,,,,,,,,author / title,,,,,,,,,,
2_056_06,,MW1PD89084_D4DDB3,2,56,6,33-34,1,Propitiation,sādhana,la,550,19645,,bCom ldan rigs pa’i ral gri,P1217,1227-1305,ri khrid lo ma can ma'i sgrub thabs/,shri par Na sha ba ri  sA d+ha naM,,bris ma dbu can?,Absent,,not needed. Typeset gsung bum?,some (corrections?),TibSchol incomplete,,Discard - not schol,Discard - not schol,"Same Mss as 3_061_09 (which is marked as duplicate).letter ""ce"" in margin. Item contains 1) Text written by Ral gri, based on words of Danashila and instruction of Subhakara; 2) D3360 Text translated from the Skt by Bari lotsa ba. No relevant scholastic features. Final addition: U pas ze'u la gnang ngo // snar thang du.",,,,,mss and etxt fragments mark up complete (TD),,(Serena: check out note after the 2 colophons about who gave mss to whom),"title, in annotation: translators, teacher, addresee, place",,,snar thag,,,,,,,
2_056_07,,MW1PD89084_D4DDB3,2,56,7,33-34,1,Propitiation,sādhana,la,550,,,bCom ldan rigs pa’i ral gri,P1217,1227-1305,ri khrid lo ma can ma'i sgrub thabs/,shri par Na sha ba ri  sA d+ha naM,,,,,Needed later,no (some corrections),Typeset gsung bum?,,Peri,INDIAN,"indian work D3360, see comments on 2_056_06. Could be considered part of preceding, and one could renumber following works.",,,,,Mss markup completed (PH),,,,,,,,,,,,,
2_056_08,,MW1PD89084_7E18A4,2,56,8,35-36,1,,other ?,la,550,,,bCom ldan rigs pa’i ral gri?,P1217,1227-1305,bde gshegs kun gyi snying po,,,,Absent,,,,Typeset?,,,Discard - not schol,"Letter zhe in left margin. Colophon: slob dpon pad mAs mdzad pa'i tshe sgrub rdzogs so/ /ze'us bris pa. BDRC identifies author as mKhan chen grags pa shes rab P1303 (1259-1324), but Ze'u is rather the scribe here, and ""slob dpon pad ma""? Ral gri?",,,,,,,,"title, author, scribe",,,,,ze'u,,,,,
2_056_09,,MW1PD89084_D4CDCE,2,56,9,37-38,1,visualisation,visualisation,la,550,019646,,sKyo ston smon lam tshul khrims,P1219,1219-1299,mi g.yo ba'i dmigs pa skor gsum,,,,,,Not needed,no,"fragments in TibSchol incomplete. PH changed etext name to _09 (file of 3_061_11 identical mss, should be combined).",,Discard,Discard - not schol,"Samue manuscript as item 3_061_11 (the latter marked as duplicate, in slightly lower readability). Letter ""che"" in margin. Authorship - Drepung cat says sKyo. See same expression in colophon of 50_02 etc.. No relevant topic or feature 
SB: I would read the colophon as saying that 'the 8th abbot of sNar thang bestowed [this teaching] on the venerable Chos kyi rgyal mtshan', so the author is still sKyo
TD: Dieser textautor is Skyo. Proofread in sNar thang.",,,done,done,mss and etxt fragments mark up complete (TD). Cannot find annotated mss,,,"author, addressee; place of proofreading in note",,,snar thang,,,,,TD,,
2_056_10,,MW1PD89084_DC4A6B,2,56,10,39-40,1,Propitiation,sādhana,ma,(692?),11554,,bCom ldan rigs pa’i ral gri,P1217,1227-1305,sangs rgyas tshe dpag med kyi sgrub thabs/,,,dbu can,,,,no,Typeset?,,,Discard - not schol,no Drepung signature,,0,,,Mss marked up (PH),,,author,,,,,,,,,,
2_056_11,,MW1PD89084_9C9A79,2,56,11,41-42,1,eulogy,eulogy,ma,926,12437,,bCom ldan rigs pa’i ral gri,P1217,1227-1305,sangs rgyas sum cu rtsa lnga la bstod pa; colophon: sangs rgyas gsum bcu rtsa lnga la bstod pa rgyan (gyi?) me tog,bud d+ha pañ+ca triM sa ta sto s+traM,,,,,,no,Typeset?,,,Discard - not schol,text troncated on the righ on KDSB page,,0,,,Mss marked up (PH),,,author,,,,,,,,,,
2_056_12,,MW1PD89084_64AD5C,2,56,12,43-45,2,,Instruction,ba,9,13641,,bCom ldan rigs pa’i ral gri,P1217,1227-1305,don zhags kyi bsnyung gnas kyi man ngag,,,dbu can,,,,no,Typeset?,,,Discard - not schol,"on f. 1-2a1, followed by 2_056_13. In Drepung dkar chag, signature reported as phyi ma 1025, 2 folios.",,0,,,Mss marked up (PH),,,author,,,,,,,,,,
2_056_13,,MW1PD89084_64AD5C,2,56,13,45-46,1,tantra,tantra,,,,,bCom ldan rigs pa’i ral gri,P1217,1227-1305,colophon: don zhags kyi bsdus don,,D901,dbu can,,,,no (lemmata only),,,,Discard - not schol,"following 2_056_12 from f. 2a2, no other signature. Topical outline of the Don yod zhags pa'i mdo='phags pa don yod zhags pa'i snying po zhes bya ba theg pa chen po'i mdo, ārya-amoghapāśa-hṛdaya-nāma-mahāyāna-sūtra D901 (rgyud). Proofread once.",,0,,,Mss marked up (PH),,,author,,,,,,,,,,
2_056_14,,MW1PD89084_E61E49,2,56,14,47-52,3,,Fasting?,ma,1025,13645,,bCom ldan rigs pa’i ral gri,P1217,1227-1305,gcod kyi gdams pa nam mkha' sgo 'byed,,,dbu can,Absent,,,no,Typeset?,,,Discard - not schol,teaching given by Ral gri to sKyi ston grags pa rgyal mtshan,,0,,,Mss marked up (PH),,,title author recipient scribe place,,,bla ma'i thugs dam snying po g.yu,,gser,,,,,
2_056_15,,MW1PD89084_8CCBEE,2,56,15,53-67,7,ritual,ritual,la,501,019272,,bCom ldan rigs pa’i ral gri,P1217,1227-1305,mchod pa'i cho ga rgyan gyi me tog,,,,Absent,,Not needed,no,fragments in TibSchol incomplete,,Discard,Discard - not schol,no relevant themes or features,,2-3,,,mss and etxt fragments mark up complete (TD),,,"title, teacher, addressee, place",,,dpal ldan snar thang,,,,,TD,,
2_056_16,,MW1PD89084_8B735C,2,56,16,67-94,14,Mandala,diverse - mandala,la,501,19279,,bCom ldan rigs pa’i ral gri,P1217,1227-1305,dkyil 'khor rgyan gyi me tog,maN+Da la a laM ka ra push+pa ,,,,,,no,Typeset?,,,Discard - not schol,"markup only partial, as contents not relevant. Many citations. Ref. to Shantarakshita and Atisha. Some ""kha cig"". Composed following a) grub pa'i slob dpon klu'i blo, b) dpal mar me mdzad bzang po'i gzhung; c) dkyil 'khor thams cad kyi cho ga rdo rje phreng ba.",,2,,,partial markup of mss,,,"author, place",,,rtsang me tog mdangs can gyi dgon pa,,,,,,,
2_056_17,,MW1PD89084_9D816C,2,56,17,95-103,5,ritual,ritual,ma,926,12427,,dza ya sa na + bCom ldan rigs pa’i ral gri,P7878+P1217,1227-1305,chab gtor 'jam dpal ma'i gzhung,,,,Absent,,Not needed,"yes, by Ral gri",fragments in TibSchol incomplete,,Discard,Discard - not schol,interlinear comments on Jayasanas base text; no pertinent topic. gSung rten identifies it as Drepung 12484,,2-3,,,mss and etxt fragments mark up complete (TD),,,"base text, translator, lineage",,,,,,,,TD,,
2_056_18,,MW1PD89084_4A0084,2,56,18,109-248,73,Perfection of wisdom,Maitreya 2,la,501,19274,,bCom ldan rigs pa’i ral gri,P1217,1227-1305,mdo sde rgyan gyi me tog ces bya ba'i dka' gnas. Cover page: mdo sde brgyan gyi me tog,su tra a la ka ra puSH pa,D4020,,P,,Convert,no,Typeset?,,Core,minor,"on TD's list. Not the same text as 3_061_14, even if both are related to MSA. Many citations of sutra. No discussions, debates, or other views introduced. Only a few glosses and corrections in dbu can. No sa bcad. Ff. 54-55 un 72 missing. Discussion about geography around 42-43. Colophon names place were text was written ""bris pa"".",,0,,,mss marked up completed (TD),,,"title, author, place",,,gtsang me tog mdangs can gyi dgon pa,,,,,,,
2_056_19,,MW1PD89084_D2D02D,2,56,19,249-253,3,,advice,la,501,19266,,bCom ldan rigs pa’i ral gri,P1217,1227-1305,spring yig bdud rtsi thig pa'i bsdus don/,,1_001_14,,P,,,no (lemmata only),Typeset?,,,Discard - not schol,"Proofread once. Topical outline of Lo tsa ba chen pos mdzad pa'i spring yig bdud rtsi'i thig ge. Only interesting as being a bsdus don on a Tibetan work (rare!). Path and goal of mahayana, madhyamaka, four noble truths",,,,,partial markup of mss (PH),,,"place, author",,,dpal ldan gser bzang dgon pa,,,,,,,
2_056_20,,MW1PD89084_75283E,2,56,20,255-268,7,cosmology,diverse - cosmology,la,501,19273,,bCom ldan rigs pa’i ral gri,P1217,1227-1305,jig rten gyi zhing khams rgya mtsho gzhi dang snying po me tog gis brgyan pa rnam par bshad pa rgyan gyi me tog,lo ka d+ha tu su ga ra mU la gar+b+ha push+pa a laM ka ra ka de sha (check),,,,,,no,Typeset?,,,Discard - not schol,Only partially marked up as contents not relevant,,,,,partial markup of mss (PH),,,"title, author",,,,,,,,,,
2_056_21,,MW1PD89084_75283E,2,56,21,269,1,,tantra?,,,,,bCom ldan rigs pa’i ral gri,P1217,1227-1305,?,,,,,,,,Typeset?,,,Discard - not schol,"No drepung number. Not distinguished in dkar chag. Starts with ""dgyes pa rdo rje'i brgyud pa ni"". Finishes with: na ro pa'i g.grel (!) pa shAkya bris sprul lo rgya shAkya seng ge phung thang ston shag bcom ldan ral gris bkod pa'o //",,,,,partial markup of mss (PH),,,author,,,,,,,,,,
2_056_22,,MW1PD89084_A888BA,2,56,22,277-448,86,tantra,tantra,ma,599,10497,,bCom ldan rigs pa’i ral gri,P1217,1227-1305,dgyes pa rdo rje rgyan gyi me tog,shri he ba jra a laM ka ra,,,Present,,,,Typeset?,,Discard,Discard - not relevant,,,,,,,,,"title, author, place",,,gtsang me tog mdangs can gyi dgon pa,,,,,,,
2_056_23,,MW1PD89084_6F4B32,2,56,23,449-472,12,tantra,tantra,ma,599,10499,,bCom ldan rigs pa’i ral gri,P1217,1227-1305,rgyud brtag pa gnyis pa'i bsdus don,,,,,,,no (lemmata only),Typeset?,,Discard,Discard - not schol,"colophon title: zab pa'i rgyud dgyes pa'i rdo rje'i don yang dag par bsdus pa. Work related to Hevajratantra, but I am not sure which is the base-work of which it is a topical outline.",,,,,,,,"author, place",,,me tog mdangs can dgon pa,,,,,,,
2_056_24,,MW1PD89084_76C840,2,56,24,473-492,10,tantra,tantra,ma,599,10498,,bCom ldan rigs pa’i ral gri,P1217,1227-1305,rgyud kun tu spyod pa rgyan gyi me tog ,yo gi ni san tsa rya a laM ka ra puSH pa ,,,Present,,,,Typeset?,,Discard,Discard - not relevant,"No Drepung signature visible on cover page. Dual folio numbering, from 1 and from 124 (x24). Mention of naropa, kha cig. Discussion chapter by chapter of text (which?)",,,,,mss markup completed (PH),,,"title, author, place",,,rtsang me tog mdangs can gyi nags khrod,,,,,,,
2_056_25,,MW1PD89084_672963,2,56,35,493-500,4,ritual,ritual,ma,1025,013667,,bCom ldan rigs pa’i ral gri,P1217,1227-1305,tshogs kyi 'khor lo'i cho ga rgyan gyi me tog,,,,,,Not needed,,TibSchol incomplete,,Discard,Discard - not schol,"Authorship unclear according to TD, but no doubt in view of title (PH); colophon indicates that exemplar belongs to Ral gri. No pertinent content. Follows NA ro pa etc.",,0,,,mss and fragmentary etxt markup completed (TD),,,"title, author, inspiration, place",,,gtsang me tog mdangs can gyi dgon pa,,,Ral gri,,TD,,
2_056_26,,MW1PD89084_20ED48,2,56,26,501-512,6,dakini,diverse - dakini,ma,1025,13668,,bCom ldan rigs pa’i ral gri,P1217,1227-1305,mkha' 'gro seng gdong mas gsungs pa'i rdo rje'i tshig rkang,,,,Absent,,,,Typeset?,,Discard,Discard,,,,,,,,,lineage,,,,,,,,,,
2_056_27,,MW1PD89084_288D94,2,56,27,513-538,13,,maya,ma,599,10491,,bCom ldan rigs pa’i ral gri,P1217,1227-1305,sgyu ma chen mo rgyan gyi me tog,ma hA ma ya a laM ka ra,,,Present,,,,Typeset?,,Discard,Discard,,,,,,,,,"title, author",,,,,,,,,,
2_056_28,,MW1PD89084_63ED77,2,56,28,539-553,7,Perfection of wisdom,Prajñāpāramitā,ma/la,59,,,bCom ldan rigs pa’i ral gri,P1217,1227-1305,Colophon: 'phaGS pa bsdud pa'i pin+da-r+thaM Cover page: sdud pa tshigs su bcad pa,,D13,,,,Convert,no (lemmata only),Typeset?,,Core,Discard - no further interest,"From title, a work on Sañcayagāthā D13. Bundle not in Drepung catalogue. The work is  a topical outline of D13, with lemmata interlinearly indicated. Divisions chapter by chapter (32 chapters). I don't know where the refrence ""phags pa sdud pa'i bin tar tha (sic) slob dpon seng ge bzang po'i sdud 'grel dang mthun pa"" (in agreement with Haribhadra's commentary D3792) comes from.",,,,,mss markup completed (nothing of interest apart title/author) (PH),,,"author, title",,,,,,,,,,
2_056_29,,MW1PD89084_743F1C,2,56,29,553-554,1,diverse,Prajñāpāramitā ??,,,,,bCom ldan rigs pa’i ral gri,P1217,1227-1305,rgyas pa 'bum gyi 'gyur byang drug bshad pa/,,,,,,,no,Typeset?,,,Discard - not pertinent,"An account of how the Prajnaparamita came to be translated, and there were 6 translations (?). Not directly pertinent for the project. ",translation,0,,,mss markup completed (PH),,,author / title,,,,,,,,,,
2_056_30,,MW1PD89084_13F701,2,56,30,555-556,1,diverse,tantra - guhyagarbha,la,501,,,bCom ldan rigs pa’i ral gri,P1217,1227-1305,gsang ba snying po'i 'gyur byang,,,dbu can (blockprint),,,not needed,no,Typeset?,,Peri,Discard - not pertinent,"Versified discussion about the tantra rgyal gsang snying by rdo rje sems dpa, wehther an Indian text can be found. Composed by Ral gri, and carved in wood based on Ral gri's exemplar.",,0,,,ms marku completed (PH),,,author,,,,,,,,,,
2_057_01,,MW1PD89084_CC021A,2,57,1,11-665,314,Abhidharma,AS,la,501,,,bCom ldan rigs pa’i ral gri,P1217,1227-1305,mNgon pa kun las btus paʼi bshad pa rgyan gyi me tog,a b+hi d+harma sa mud tsa ya a laM ka ra puSH pa,D4049,dbu can (blockprint),,,Convert,,Typeset gsung 'bum,,Core,,gSung rten: Page 231-373 are type-set with separate numbering (pp. 280-412). copied from ral gri’s phyag dpe by « kun mkhyen »,,,,,,,,"title, author. Gloss: lineage, copy wner, scribe",,,,,kun mkhyen,,,,,
2_058_01,,MW1PD89084_C16C3A,2,58,1,15-21,4,ritual,ritual,la,182,,,rgyal sras thogs med bzang po,P1830,1295-1369,sems bkyed sdom pa rang gis blang ba'i cho ga,,,,Absent,,Not needed,no,TibSchol incomplete,,Discard,Discard - not schol,"14th c. according to lineage list. Not listd in Drepung cat. dge ba'i bshes gnyen dang bde bar gshegs pa'i rten gyi drung du| rang so sos sems bskyed kyi sdom pa ji ltar len pa'i tshul gsal bar gsungs|
Double folio no. 1-4; 38-41",No pertinent schol features apart from a few sa bcad; lineage listed at the end,,,,mss and etxt fragemnts markup completed (TD),,,"title, author, lineage",,,,,,,,TD,,
2_058_02,,MW1PD89084_C4F52F,2,58,2,23-50,14,ritual,ritual,la,182,18262?,,rgyal sras thogs med bzang po,P1830,1295-1369,sems tsam lugs kyi smon ‘jug sems bskyed kyi cho ga,,,,Absent,,Not needed,no,TibSchol incomplete,,Discard,Discard - not schol,"TDslob dpon gyi mdun nas sems tsam pa'i lugs ltar gyi sems 'jug sems bskyed kyi sdom pa ji ltar len tshul yin|
Double folio no. 1-14; 7-30",No pertinent schol features apart from a few sa bcad; lineage listed at the end,2-3,,,mss and etxt fragemnts markup completed (TD),,,"title, author, place, lineage",,,dngul chu'i chos rdzong,,,,,TD,,
2_058_03,,MW1PD89084_95352F,2,58,3,51-79,15,ritual,ritual,la,182,18263?,,rgyal sras thogs med bzang po,P1830,1295-1369,smon ‘jug sems bskyed kyi cho ga,,,,Absent,,Not needed,no,TibSchol incomplete,,Discard,Discard - not schol,TD: sems tsam lugs kyi smon 'jug sems bskyed kyi cho ga len tshul yin| mjug tu smon 'jug sems bskyed 'di'i brgyud pa rnams gsal bar bris 'dug; PH actually 3 texts included,No pertinent schol features but many citations of Indian works and names in different lineages,,,,mss and etxt fragemnts markup completed (TD),,,"title, author, place, scribe, lineage",,,chos rdzong,,jam dbyangs dkar po,,,TD,,
